"","vendors","id","price","size","cost_per_size"
"605","Walmart",79785,6.44,195.83,0.03
"606","Voila",56319,18.07,816.54,0.02
"607","Loblaws",61674,32.84,8.17,4.02
"608","Loblaws",10388,38.7,480.98,0.08
"609","No Frills",22128,29.62,954.05,0.03
"610","Loblaws",41922,27.63,55.23,0.5
"611","Voila",37904,30.79,228.96,0.13
"612","Loblaws",64046,47.72,674.52,0.07
"613","T&T",20738,22.11,829.03,0.03
"614","Voila",1995,15.97,963.44,0.02
"615","Save-On-Foods",41864,23.62,728.52,0.03
"616","No Frills",50486,24.84,489.67,0.05
"617","Walmart",57835,6.32,674.12,0.01
"618","Loblaws",94944,17.11,19.15,0.89
"619","Loblaws",64608,4.18,679.87,0.01
"620","Loblaws",62332,37.87,267.29,0.14
"621","Walmart",60627,4.65,357.05,0.01
"622","Loblaws",59312,9.66,233,0.04
"623","T&T",35152,48.71,363.44,0.13
"624","T&T",44570,49.06,920.31,0.05
"625","Save-On-Foods",81489,30.85,282.85,0.11
"626","T&T",12688,49.13,188.18,0.26
"627","Voila",3637,16.04,946.24,0.02
"628","Save-On-Foods",43933,39.28,434.85,0.09
"629","Galleria",22520,42.21,848.8,0.05
"630","Galleria",4673,31.65,283.94,0.11
"631","Save-On-Foods",8538,32.94,480.2,0.07
"632","Metro",7004,2.99,386.27,0.01
"633","Save-On-Foods",35412,23,449.03,0.05
"634","T&T",93,38.54,708.66,0.05
"635","Loblaws",77335,24.13,429.76,0.06
"636","No Frills",41027,13.64,354.41,0.04
"637","No Frills",12853,39.09,698.43,0.06
"638","T&T",41105,33.14,117.64,0.28
"639","No Frills",5636,10.1,360.73,0.03
"640","Metro",45007,20.41,967.86,0.02
"641","Save-On-Foods",41142,31.08,696.22,0.04
"642","Metro",60380,43.54,473.52,0.09
"643","Voila",62528,3.13,13.41,0.23
"644","Save-On-Foods",86390,26,995.01,0.03
"645","T&T",68934,25.58,469.14,0.05
"646","Loblaws",17699,16.96,439.18,0.04
"647","Loblaws",25595,38.12,33.87,1.13
"648","Loblaws",49111,48.8,760.54,0.06
"649","Loblaws",99330,22.09,919.21,0.02
"650","T&T",25574,44.82,563.25,0.08
"651","Voila",44202,41.9,11.3,3.71
"652","No Frills",5741,17.19,181.22,0.09
"653","No Frills",69418,31.35,409.43,0.08
"654","Loblaws",6205,48.97,737.26,0.07
"655","No Frills",45818,39.75,947.9,0.04
"656","Galleria",64905,24.22,63.12,0.38
"657","Galleria",99313,35.21,961.77,0.04
"658","Save-On-Foods",30544,37.11,618.58,0.06
"659","Loblaws",45782,35.92,99.49,0.36
"660","Walmart",66295,22.1,780.39,0.03
"661","Loblaws",82427,11.26,589.01,0.02
"662","Save-On-Foods",33478,29.79,905.36,0.03
"663","Loblaws",66610,4.05,570.33,0.01
"664","Loblaws",77980,26.57,414.67,0.06
"665","Walmart",52652,2.43,484.75,0.01
"666","No Frills",45892,19.4,823.11,0.02
"667","Galleria",85130,15.54,428.73,0.04
"668","Walmart",19902,30.88,255.48,0.12
"669","Metro",85786,40.28,706.59,0.06
"670","Loblaws",34604,20.92,872.7,0.02
"671","Loblaws",18221,49.85,170.72,0.29
"672","Loblaws",37282,17.36,16.61,1.05
"673","Save-On-Foods",34137,11.93,789.9,0.02
"674","Loblaws",61073,22.64,916.55,0.02
"675","Voila",34939,36.81,440.43,0.08
"676","Loblaws",57723,33.86,683.16,0.05
"677","Metro",26222,4.88,171.36,0.03
"678","Save-On-Foods",7961,9.12,932.63,0.01
"679","Metro",81369,24.46,223.36,0.11
"680","T&T",71697,36.8,544.43,0.07
"681","No Frills",9743,29.73,954.39,0.03
"682","Save-On-Foods",14245,21.16,176.06,0.12
"683","Metro",80499,5.47,300.69,0.02
"684","No Frills",66796,13.87,116.32,0.12
"685","Galleria",78599,5.62,12.36,0.45
"686","Loblaws",81900,44.73,286.78,0.16
"687","Save-On-Foods",93137,25.62,816.96,0.03
"688","Voila",498,46.55,451.46,0.1
"689","Walmart",45733,6.36,596.11,0.01
"690","Metro",64689,30.67,443.51,0.07
"691","No Frills",93667,33.25,926.8,0.04
"692","Loblaws",66232,36.1,579.88,0.06
"693","Galleria",46550,27.92,395.2,0.07
"694","Walmart",67279,42.92,110.53,0.39
"695","T&T",16540,1.36,388.79,0
"696","Loblaws",26274,9.98,261.42,0.04
"697","Galleria",1256,13.15,537.17,0.02
"698","No Frills",99085,38.97,912.72,0.04
"699","T&T",56959,8.32,919.2,0.01
"700","Walmart",43239,49.8,262.63,0.19
"701","Save-On-Foods",15319,2.6,889.61,0
"702","Metro",39332,24.27,663.18,0.04
"703","Save-On-Foods",27278,48.39,121.7,0.4
"704","Loblaws",468,26.01,584.32,0.04
"705","No Frills",30009,24.68,421.46,0.06
"706","T&T",63381,44.67,58.89,0.76
"707","Galleria",73000,10.08,481.17,0.02
"708","Save-On-Foods",91742,30.32,157.48,0.19
"709","Metro",81640,41.55,761.29,0.05
"710","Metro",61940,28.57,299.44,0.1
"711","No Frills",66709,46.22,107.78,0.43
"712","Voila",31703,19.3,90.73,0.21
"713","Save-On-Foods",60991,48.36,189.67,0.25
"714","Save-On-Foods",94398,47.77,827.57,0.06
"715","Walmart",74082,30.5,824.94,0.04
"716","T&T",61476,4.17,79.57,0.05
"717","T&T",54986,14.6,679.37,0.02
"718","No Frills",41046,7.48,564.25,0.01
"719","Metro",91099,40.2,584.92,0.07
"720","Metro",61021,41.8,423.48,0.1
"721","Metro",41599,6.82,343.91,0.02
"722","No Frills",32910,23.52,747.36,0.03
"723","Save-On-Foods",57058,23.64,983.46,0.02
"724","Galleria",47022,29.68,117.14,0.25
"725","Metro",94800,11.93,188.86,0.06
"726","Save-On-Foods",55972,40.25,335.96,0.12
"727","Save-On-Foods",38978,0.34,993.72,0
"728","Loblaws",7558,43.53,934.46,0.05
"729","Galleria",10651,48.29,151.5,0.32
"730","Voila",52120,39.21,465.22,0.08
"731","Galleria",13140,9.86,921.03,0.01
"732","Metro",39147,21.46,53.75,0.4
"733","Walmart",24178,48.31,737.23,0.07
"734","Loblaws",8864,37.31,231.4,0.16
"735","Walmart",20844,45.64,124.77,0.37
"736","Walmart",22777,32.83,892.39,0.04
"737","Voila",71134,35.3,652.67,0.05
"738","Galleria",90778,0.66,658.53,0
"739","T&T",17202,27.42,454.75,0.06
"740","Save-On-Foods",49709,35.36,407.65,0.09
"741","Galleria",98820,22.74,334.46,0.07
"742","Loblaws",27542,33.25,590,0.06
"743","No Frills",63098,40.09,196.23,0.2
"744","Metro",59813,40.51,719.56,0.06
"745","Loblaws",7269,2.1,316.11,0.01
"746","Metro",47491,31.41,30.23,1.04
"747","Metro",72623,36.64,562.58,0.07
"748","T&T",492,45.22,750.9,0.06
"749","Walmart",37473,29.82,435.79,0.07
"750","Save-On-Foods",21017,6.74,9.95,0.68
"751","Voila",60258,29,46.43,0.62
"752","No Frills",21190,32.04,923.33,0.03
"753","No Frills",65103,7.62,76.93,0.1
"754","No Frills",56214,4.46,305.51,0.01
"755","T&T",41085,23.01,194.43,0.12
"756","T&T",17051,32.58,485.13,0.07
"757","Metro",73394,43.13,64.42,0.67
"758","T&T",61570,9.06,205.57,0.04
"759","Walmart",15974,17.8,640.33,0.03
"760","No Frills",24846,14.31,118.74,0.12
"761","Galleria",50708,1.34,230.92,0.01
"762","T&T",92265,33.58,748.91,0.04
"763","Loblaws",81479,6.64,146.91,0.05
"764","No Frills",41192,2.02,898.42,0
"765","Loblaws",3922,20.94,630.5,0.03
"766","Walmart",31893,21.37,789.29,0.03
"767","Galleria",78407,44.66,506.81,0.09
"768","T&T",32935,40.05,754.71,0.05
"769","Loblaws",19250,29.02,515.96,0.06
"770","Voila",31088,14.43,289.53,0.05
"771","No Frills",3437,25.83,509.49,0.05
"772","Metro",8998,37.54,662.66,0.06
"773","Save-On-Foods",32081,7.19,693.36,0.01
"774","No Frills",70062,11.71,64.19,0.18
"775","Galleria",52528,49.15,642.98,0.08
"776","Galleria",40988,5.05,282.99,0.02
"777","Galleria",99819,45.57,603.31,0.08
"778","Metro",66629,46.71,285.67,0.16
"779","Metro",57849,30.07,960.22,0.03
"780","Walmart",82426,40.01,663.01,0.06
"781","Loblaws",53316,15.97,491.46,0.03
"782","Loblaws",175,11.55,399.2,0.03
"783","Metro",72939,14.86,603.91,0.02
"784","Galleria",54047,10.92,551.84,0.02
"785","Metro",15492,43.61,912.4,0.05
"786","Loblaws",39509,13.41,943.49,0.01
"787","Loblaws",77564,39.23,231.38,0.17
"788","Galleria",25094,26.19,328.03,0.08
"789","Loblaws",93903,41.24,347.99,0.12
"790","Loblaws",58471,6.06,871.17,0.01
"791","Metro",78082,45.18,19.63,2.3
"792","Loblaws",82187,20.45,561.92,0.04
"793","Walmart",42547,30.16,955.38,0.03
"794","Loblaws",63257,0.29,531.18,0
"795","Galleria",41978,36.84,234.55,0.16
"796","Voila",73290,11.94,999.11,0.01
"797","T&T",90012,44.46,459.44,0.1
"798","Save-On-Foods",3574,22.1,112.73,0.2
"799","Loblaws",3544,40.47,621.62,0.07
"800","Voila",82556,1.28,93.81,0.01
"801","Metro",6227,24.36,637.58,0.04
"802","Loblaws",20722,28.17,994.1,0.03
"803","Galleria",11677,2.26,317.88,0.01
"804","Save-On-Foods",14627,34.33,942.75,0.04
"805","Galleria",35519,5.26,42.46,0.12
"806","Galleria",92884,23.89,997.3,0.02
"807","Metro",65202,19.55,112.49,0.17
"808","Voila",38212,27.67,684.14,0.04
"809","Loblaws",92998,48.55,991.87,0.05
"810","Save-On-Foods",34562,38.04,963.46,0.04
"811","No Frills",76656,5.96,20.84,0.29
"812","T&T",53150,4.43,387.14,0.01
"813","T&T",35062,10.17,437.17,0.02
"814","Save-On-Foods",82837,8.36,124.7,0.07
"815","Loblaws",42315,37.66,275.4,0.14
"816","Walmart",84981,27.96,681.96,0.04
"817","Loblaws",73972,9.83,312.89,0.03
"818","T&T",46363,48.57,718.71,0.07
"819","Walmart",75688,10.72,417.1,0.03
"820","Metro",38239,15.2,169.22,0.09
"821","Galleria",81552,44.86,544.95,0.08
"822","Save-On-Foods",1328,7.83,952.08,0.01
"823","Loblaws",98069,17.28,290.35,0.06
"824","No Frills",24585,0.6,409.4,0
"825","Loblaws",7479,16.33,443.07,0.04
"826","Galleria",88354,48.94,677.64,0.07
"827","Galleria",93120,37.95,962.5,0.04
"828","No Frills",31119,3.66,317.2,0.01
"829","T&T",81915,7.97,303.19,0.03
"830","T&T",36658,8.81,167.8,0.05
"831","Voila",93989,37.59,144.13,0.26
"832","T&T",85239,20.33,952.19,0.02
"833","T&T",84228,17.43,345.68,0.05
"834","Voila",19325,15.44,957.93,0.02
"835","T&T",85441,30.14,39.29,0.77
"836","T&T",78807,25.76,844.32,0.03
"837","Loblaws",4523,24.7,738.05,0.03
"838","Loblaws",93311,32.87,141.47,0.23
"839","Walmart",76787,22.08,461.01,0.05
"840","Walmart",45608,19.74,6.89,2.87
"841","Walmart",85190,23.12,662.03,0.03
"842","No Frills",25222,37.62,627.68,0.06
"843","No Frills",81154,10.71,491.25,0.02
"844","Galleria",46776,23.7,419.86,0.06
"845","Voila",95107,8.42,503.81,0.02
"846","Metro",80453,48.1,417.64,0.12
"847","T&T",90829,13.33,990.22,0.01
"848","No Frills",43494,20.1,26.96,0.75
"849","Galleria",68825,43.62,919.64,0.05
"850","Metro",89882,17.78,161.41,0.11
"851","Galleria",347,35.43,498.84,0.07
"852","Walmart",98360,0.81,231.82,0
"853","Voila",71652,6.06,983.68,0.01
"854","Loblaws",44196,3.46,98.76,0.04
"855","Metro",78148,38.09,106.4,0.36
"856","Galleria",86574,15.34,532.46,0.03
"857","Galleria",76213,1.77,914.07,0
"858","No Frills",39122,16.72,458.92,0.04
"859","Galleria",45671,32.98,178.06,0.19
"860","Save-On-Foods",41713,48.3,151.13,0.32
"861","No Frills",71337,28.72,985.13,0.03
"862","Walmart",85573,21.99,99.3,0.22
"863","Metro",67045,11.15,872.4,0.01
"864","Save-On-Foods",13753,23.6,6.8,3.47
"865","Save-On-Foods",6961,1.05,981.52,0
"866","Save-On-Foods",11182,49.37,156.24,0.32
"867","T&T",20188,1.26,479.39,0
"868","Save-On-Foods",69027,23.42,412.47,0.06
"869","Loblaws",386,23.72,274.1,0.09
"870","Metro",48438,34.58,205.73,0.17
"871","Loblaws",66781,21.88,238.12,0.09
"872","Save-On-Foods",46121,34.4,679.3,0.05
"873","Metro",48445,16.7,844.07,0.02
"874","No Frills",35307,44.73,227.85,0.2
"875","Metro",728,45.33,259.29,0.17
"876","T&T",75501,29.13,605.1,0.05
"877","Loblaws",14620,44.95,333.35,0.13
"878","Voila",96838,5.79,660.92,0.01
"879","T&T",19128,47,867.52,0.05
"880","Loblaws",286,35.17,639.22,0.06
"881","Voila",65516,47.96,416.44,0.12
"882","Galleria",36124,36.12,999.49,0.04
"883","Galleria",46923,18.03,690.65,0.03
"884","Save-On-Foods",57776,49.34,534.18,0.09
"885","Voila",40658,27.08,247.94,0.11
"886","Galleria",43481,48.92,764.77,0.06
"887","Galleria",11372,25.73,155.65,0.17
"888","Save-On-Foods",49703,16.45,237.69,0.07
"889","T&T",30849,24.65,265.06,0.09
"890","Metro",17614,48.27,771.41,0.06
"891","Metro",77486,12.05,670.32,0.02
"892","No Frills",53418,8.28,962.99,0.01
"893","Loblaws",8542,21.75,361.45,0.06
"894","Galleria",41068,12.79,550.22,0.02
"895","T&T",72646,45.04,406.25,0.11
"896","Metro",15679,27.73,839.21,0.03
"897","T&T",35595,18.58,106.65,0.17
"898","Loblaws",71374,20.09,376.12,0.05
"899","Loblaws",29447,7.2,760.03,0.01
"900","Save-On-Foods",31518,42.91,368.37,0.12
"901","Galleria",18593,29.41,294.55,0.1
"902","Loblaws",70834,10.77,707.23,0.02
"903","Loblaws",87701,43.08,624.5,0.07
"904","No Frills",331,31.62,147.23,0.21
"905","No Frills",98910,44.52,336.28,0.13
"906","No Frills",27612,45.01,788.46,0.06
"907","Galleria",67065,29.56,189.63,0.16
"908","T&T",33752,48.21,670.15,0.07
"909","Galleria",59680,30.6,535.5,0.06
"910","No Frills",18573,46.88,238.39,0.2
"911","T&T",74219,45.2,916.88,0.05
"912","Save-On-Foods",77351,18.46,551,0.03
"913","Galleria",70451,3.61,910.57,0
"914","T&T",84327,27.66,56.15,0.49
"915","T&T",20852,32.24,156.6,0.21
"916","Loblaws",42141,36.47,408.99,0.09
"917","Loblaws",48394,49.63,996.55,0.05
"918","Metro",39539,1,222.19,0
"919","Galleria",78891,39.33,234.98,0.17
"920","Galleria",78618,41.36,581.98,0.07
"921","T&T",38053,39.15,401.4,0.1
"922","Metro",60848,43.41,281.19,0.15
"923","Voila",55025,5.97,102.95,0.06
"924","Loblaws",38610,45.18,669.52,0.07
"925","Walmart",82476,27.84,741.36,0.04
"926","Save-On-Foods",5384,23.14,772.63,0.03
"927","Voila",3085,10.14,122.16,0.08
"928","Metro",64792,46.07,506.47,0.09
"929","Voila",68411,11.52,786.3,0.01
"930","Walmart",21053,40.98,954.66,0.04
"931","Loblaws",3847,13.09,738.74,0.02
"932","T&T",41835,21.21,855.03,0.02
"933","Galleria",67264,11.97,29.55,0.41
"934","T&T",98413,23.61,800.51,0.03
"935","Loblaws",79350,1.86,833.74,0
"936","Loblaws",16510,43.51,586.15,0.07
"937","Walmart",79475,33.65,600.35,0.06
"938","Metro",73232,8.67,394.56,0.02
"939","Save-On-Foods",74636,26.1,577.64,0.05
"940","Loblaws",66023,13.17,964.06,0.01
"941","No Frills",81239,1.85,706.51,0
"942","Metro",54407,28.67,470.42,0.06
"943","Save-On-Foods",89990,49.35,597.93,0.08
"944","No Frills",19709,17.32,938.93,0.02
"945","Walmart",84469,46.59,767.91,0.06
"946","Galleria",57402,5.65,189.8,0.03
"947","Loblaws",32040,16.27,202.64,0.08
"948","Galleria",22079,0.34,464.2,0
"949","Loblaws",81126,20.39,879.92,0.02
"950","Metro",40957,14.61,921.71,0.02
"951","Walmart",3834,37.39,421.95,0.09
"952","T&T",7975,16.54,226.27,0.07
"953","T&T",87838,33.9,86.76,0.39
"954","Metro",12644,38.22,291.48,0.13
"955","Loblaws",79778,8.42,885.12,0.01
"956","T&T",9715,18.83,179.48,0.1
"957","Save-On-Foods",75435,13.78,99.39,0.14
"958","Loblaws",88693,19.44,8.75,2.22
"959","T&T",86219,33.35,798.14,0.04
"960","T&T",87293,32.4,816.16,0.04
"961","Galleria",1178,46.81,381.18,0.12
"962","T&T",73768,16.16,323.38,0.05
"963","Walmart",35643,17.71,817.57,0.02
"964","No Frills",87142,37.67,145.22,0.26
"965","Voila",56249,31.42,740.35,0.04
"966","Galleria",59867,20.93,905.51,0.02
"967","Galleria",83917,33.27,949.94,0.04
"968","Galleria",59646,46.06,735.95,0.06
"969","Voila",15053,29.2,487.26,0.06
"970","Loblaws",59511,18.95,204.33,0.09
"971","Loblaws",11408,13.12,380.58,0.03
"972","Galleria",43213,35.77,322.27,0.11
"973","Loblaws",16602,33.63,247.25,0.14
"974","Metro",19624,24.58,72.61,0.34
"975","T&T",48937,15.48,110.1,0.14
"976","Loblaws",82375,2.56,758.47,0
"977","Galleria",172,3.85,19.77,0.19
"978","Loblaws",33767,47.35,131.53,0.36
"979","Metro",29853,30.63,240.01,0.13
"980","Galleria",53574,36.72,884.13,0.04
"981","No Frills",46880,34.58,355.82,0.1
"982","Loblaws",32986,3.6,418.81,0.01
"983","Metro",52619,16.3,419.05,0.04
"984","Loblaws",79556,46.06,769.59,0.06
"985","Loblaws",84578,44.99,618.05,0.07
"986","T&T",12445,36.32,737.69,0.05
"987","Save-On-Foods",67334,13.37,207.98,0.06
"988","Save-On-Foods",49179,3.18,323.56,0.01
"989","Voila",61472,30.19,771.77,0.04
"990","Loblaws",92999,26.17,926.32,0.03
"991","Walmart",40932,43.06,821.48,0.05
"992","Metro",5633,8.91,851.9,0.01
"993","Metro",91622,38.13,918.88,0.04
"994","Galleria",31173,30.09,56.59,0.53
"995","Loblaws",2400,4.84,550.69,0.01
"996","Galleria",86406,49.47,412.81,0.12
"997","Loblaws",35939,38.76,662.44,0.06
"998","T&T",26206,46.15,731.62,0.06
"999","Galleria",10182,14.02,948.22,0.01
"1000","T&T",73550,36.17,493.76,0.07
"1001","Galleria",99435,20.77,603.63,0.03
"1002","Walmart",77338,32.86,272.27,0.12
"1003","Galleria",22494,41.78,38.48,1.09
"1004","T&T",79940,45.02,779.32,0.06
"1005","Loblaws",52469,47.11,597.33,0.08
"1006","No Frills",84541,9.33,495.2,0.02
"1007","Walmart",25172,33.7,264.58,0.13
"1008","Voila",54195,26.23,597.61,0.04
"1009","Voila",674,29.23,523.09,0.06
"1010","Loblaws",39552,48.77,93.86,0.52
"1011","Loblaws",22701,3.48,458.65,0.01
"1012","Metro",77904,23.98,149.13,0.16
"1013","Loblaws",41956,44.51,244.98,0.18
"1014","Loblaws",8079,29.29,273.53,0.11
"1015","Save-On-Foods",96191,11.74,13.58,0.86
"1016","T&T",69648,1.51,917.75,0
"1017","Save-On-Foods",77331,36.25,365.91,0.1
"1018","No Frills",30427,40.64,367.18,0.11
"1019","Galleria",12205,15.36,745.96,0.02
"1020","Loblaws",5167,35.94,200.56,0.18
"1021","Save-On-Foods",76056,38.16,822.01,0.05
"1022","Save-On-Foods",75118,34.61,588.71,0.06
"1023","Metro",87467,0.82,458.82,0
"1024","No Frills",24453,46.56,125.71,0.37
"1025","T&T",63100,36.99,208.73,0.18
"1026","Walmart",98457,18.95,426.42,0.04
"1027","Galleria",40715,34.75,576.37,0.06
"1028","T&T",74917,6.53,247.05,0.03
"1029","Loblaws",80126,34.19,789.94,0.04
"1030","Galleria",62466,18.95,867.66,0.02
"1031","Galleria",35524,42.03,111.52,0.38
"1032","Save-On-Foods",56357,12.27,424.47,0.03
"1033","Loblaws",40423,46.58,608.99,0.08
"1034","Loblaws",18932,41.85,680.12,0.06
"1035","Galleria",82716,18.99,944.69,0.02
"1036","Voila",16718,31.79,654.52,0.05
"1037","Loblaws",30645,46.11,394.86,0.12
"1038","Loblaws",38057,42.13,830.09,0.05
"1039","Loblaws",80583,22.44,385.68,0.06
"1040","Save-On-Foods",43565,10.66,920.58,0.01
"1041","Loblaws",31790,21.88,609.06,0.04
"1042","Metro",20265,23.62,636.15,0.04
"1043","Save-On-Foods",30686,23.51,108.91,0.22
"1044","Voila",15105,15.52,475.62,0.03
"1045","T&T",69165,9.36,188.34,0.05
"1046","Save-On-Foods",3586,18.74,429.33,0.04
"1047","T&T",25663,9.99,353.21,0.03
"1048","T&T",8623,7.93,549.21,0.01
"1049","Voila",27105,36.63,293.05,0.12
"1050","Loblaws",3810,42.15,240.32,0.18
"1051","T&T",47523,44.02,526.68,0.08
"1052","Loblaws",48499,1.65,794.96,0
"1053","Metro",61600,39.95,783.09,0.05
"1054","Walmart",6431,24.2,989.29,0.02
"1055","Galleria",32551,8.1,374.1,0.02
"1056","Galleria",68036,48.03,46.89,1.02
"1057","Loblaws",26239,42.63,761.21,0.06
"1058","No Frills",55382,17.61,572.81,0.03
"1059","No Frills",63693,1.67,336.88,0
"1060","Loblaws",96966,13.25,748.32,0.02
"1061","No Frills",40689,47.85,598.25,0.08
"1062","Metro",77498,39.58,874.57,0.05
"1063","T&T",48750,40.91,168.69,0.24
"1064","Galleria",13194,38.53,881.99,0.04
"1065","T&T",25597,31.18,153.05,0.2
"1066","T&T",51539,33.01,572.51,0.06
"1067","Galleria",77955,13.26,848.42,0.02
"1068","T&T",18855,27.69,809.35,0.03
"1069","Walmart",62655,4.96,803.73,0.01
"1070","Loblaws",23703,30.18,860.5,0.04
"1071","No Frills",89478,13.04,553.8,0.02
"1072","Walmart",61866,25.73,989.47,0.03
"1073","Walmart",30259,5.49,998.5,0.01
"1074","No Frills",38856,1.8,542.61,0
"1075","Galleria",97071,17.07,339.75,0.05
"1076","Galleria",2421,17.5,749.58,0.02
"1077","T&T",36461,8.2,200.21,0.04
"1078","No Frills",11895,6.96,706.2,0.01
"1079","Loblaws",13591,36.93,774.61,0.05
"1080","Loblaws",61203,37.42,573.97,0.07
"1081","Save-On-Foods",15298,15.55,425.84,0.04
"1082","T&T",64906,31.85,57.19,0.56
"1083","Loblaws",101,10.63,782.28,0.01
"1084","T&T",90537,27.83,102.28,0.27
"1085","Walmart",65270,15.61,419.41,0.04
"1086","Save-On-Foods",92282,4.56,120.47,0.04
"1087","Metro",3786,9.04,451.74,0.02
"1088","Loblaws",4831,15.97,376.88,0.04
"1089","Galleria",63877,49.41,481.86,0.1
"1090","Loblaws",53154,3.22,699.36,0
"1091","T&T",65358,23.63,233.24,0.1
"1092","Galleria",57736,25,271.79,0.09
"1093","T&T",91430,23.36,678.29,0.03
"1094","No Frills",89824,48.74,851.34,0.06
"1095","Save-On-Foods",27380,41.87,340.47,0.12
"1096","Voila",60640,35,835.25,0.04
"1097","Voila",94820,32.05,868.58,0.04
"1098","Voila",64372,6.04,355.78,0.02
"1099","Walmart",79433,25.44,878.25,0.03
"1100","Loblaws",4955,39.75,261.42,0.15
"1101","Save-On-Foods",19749,40.39,200.96,0.2
"1102","Loblaws",66057,31.92,622.99,0.05
"1103","Save-On-Foods",46701,10.93,329.66,0.03
"1104","T&T",77974,22.54,801.93,0.03
"1105","Loblaws",15016,42.13,542.54,0.08
"1106","Voila",42168,16.51,800.7,0.02
"1107","Walmart",68124,8.61,350.41,0.02
"1108","Loblaws",12724,37.3,523.5,0.07
"1109","Metro",88030,22.3,437.88,0.05
"1110","Loblaws",40998,24.13,754.6,0.03
"1111","Loblaws",83900,5.9,101.67,0.06
"1112","Save-On-Foods",30285,32.5,542.68,0.06
"1113","Galleria",3551,32.5,215.85,0.15
"1114","T&T",38522,28.7,223.08,0.13
"1115","Loblaws",40939,0.75,669.06,0
"1116","Galleria",92816,28.23,683.75,0.04
"1117","T&T",73956,25.91,385.58,0.07
"1118","Metro",43322,39.12,447.7,0.09
"1119","Loblaws",43406,37.51,949.25,0.04
"1120","Galleria",99097,27.63,998.37,0.03
